video_id,delta_function,delta_pronoun,delta_ppron,delta_i,delta_we,delta_you,delta_shehe,delta_they,delta_ipron,delta_casepart,delta_auxverb,delta_adverb,delta_conj,delta_negate,delta_verb,delta_interrog,delta_number,delta_quant,delta_adjverb,delta_preadj,delta_affect,delta_posemo,delta_negemo,delta_anx,delta_anger,delta_sad,delta_social,delta_family,delta_friend,delta_female,delta_male,delta_cogproc,delta_insight,delta_cause,delta_discrep,delta_tentat,delta_certain,delta_differ,delta_percept,delta_see,delta_hear,delta_feel,delta_bio,delta_body,delta_health,delta_sexual,delta_ingest,delta_drives,delta_affiliation,delta_achieve,delta_power,delta_reward,delta_risk,delta_relativ,delta_motion,delta_space,delta_time,delta_work,delta_leisure,delta_home,delta_money,delta_relig,delta_death,delta_informal,delta_swear,delta_netspeak,delta_assent,delta_nonflu,delta_filler,delta_len
NdY2iUbqmp4,3.702587980938496,-2.5199218498187568,-0.6132756132756133,-0.26455026455026454,-0.08417508417508418,-0.03607503607503607,-0.12025012025012025,0.0,-1.9306962605931677,10.520645829924181,-1.8286696121747674,-1.717469243242439,1.1676658583875081,0.0795882239181207,-0.33223744563950763,-0.38132924730862877,-0.4104620084001528,-0.42248702042516484,0.9347277388514501,-0.7455507455507455,1.8493724679291694,1.6601954746284644,0.2974021015258127,0.47083500691748115,-0.09272895870834014,-0.02405002405002405,-1.8481327759678274,-0.06012506012506012,-0.13227513227513227,-0.02405002405002405,-0.1563251563251563,-0.26517011053093587,-0.5133564411914928,0.4831079573347614,-0.3693042352836167,0.410709946792421,0.21669815484248467,-0.958529824509206,-0.37599857187486063,-0.14938288134164424,-0.2129790789584604,-0.053182785141548006,3.219108116015332,0.8491889935188903,2.3629768475129302,0.0,1.084606496977631,2.8233984419551437,0.20281360487546052,1.252708726935531,1.0808874210936066,1.0223739605182904,0.2990137010755567,-0.7100955554563804,0.18409425625920472,-0.7538566816917331,-0.36186608351556826,1.0001834744102784,1.1720047802522027,-0.03607503607503607,0.23541750345874057,0.0,0.0,-4.978354978354979,-0.012025012025012025,-0.02405002405002405,-0.3968253968253968,-0.937950937950938,-0.49302549302549303,-7734
b--HebOnkxo,-1.4372254564118734,-1.2216057172916464,-0.3830259722325328,-0.45691077547912173,-0.11422769386978043,-0.012691965985531158,0.0,0.0,-0.5996993840006195,6.223756965614353,-1.4298976420881555,-3.5766439089339466,0.19852150569821347,-2.022333070713408,-1.4876899903493168,-0.38075897956593474,-0.9265135169437746,-0.05756884194191858,-0.11422769386978043,-0.48342820378348306,0.6420697962340784,0.17564403745008028,0.5817869489870775,0.19740397410200344,-0.026517428304361323,0.11196070120318241,0.6110183825965207,-0.038075897956593475,-0.07615179591318695,0.0,-0.17768752379743621,1.832831641470321,0.8324492860170456,1.9321163414250604,0.19740397410200344,0.49067619442176125,1.371179339075849,-0.6944341338850746,-1.3510158761327977,-0.31843264597157794,-0.5215041017400766,-0.7118835915230439,0.0532583629279646,-0.17768752379743621,0.2944057166530567,-0.025383931971062316,-0.05076786394212463,3.704904606704711,0.5493785326969789,1.7161294133517884,0.5541360243494171,0.56207049868251,0.8218008063788704,-1.25992108630457,-0.2801332416957423,0.3662470335522898,-2.007150605742037,0.43877483414633756,-0.16726255047850308,-0.05076786394212463,-0.17995451646403426,0.3012066946528508,0.25043883071072615,-2.576469095062825,0.0,0.0,-0.22845538773956087,-0.38075897956593474,-0.4315268435080594,-7084
g6VR-B0GaS4,-7.733146734629681,-2.5853121997462085,-0.17301038062283736,-0.15728216420257943,0.0,0.0,0.0,0.0,-2.4437582519638874,-1.5806857502359222,-0.5778782101075728,-1.2346114916554856,-2.205695112269507,-1.625890998110474,0.40813116690526563,-0.1100975149418056,0.42963709547990314,-0.27914909279219713,-0.002942353411953008,-0.3774771940861906,-0.14834810929719477,-0.5180146925080192,0.4168512324715983,0.1199410245381575,-0.2201950298836112,0.028514079428562877,-0.6310545608617779,-0.04718464926077383,-0.06291286568103177,-0.04718464926077383,0.0,1.470855721967931,0.31365487371419154,1.968166945922754,0.044242295848820806,0.48564880497653606,0.45419237213602026,-0.46494533642333935,0.368757128519857,-0.3774771940861906,-0.4875747090279962,-0.2732643859682911,1.1336620209581163,-0.1110069696327729,0.7875342650429156,-0.015728216420257943,0.6026474761027405,1.6732896367102992,0.0412999424368678,1.787238959755025,0.5269487474134038,0.7225885006408981,0.2526679120846199,-1.2865574037101473,0.26941257786537065,-1.0488152480243433,-0.8374472783765912,-0.34206195847322884,-0.2575361695480331,0.05997051226907875,-0.15728216420257943,0.0,-0.031456432840515886,-2.9913034732609622,0.0,0.0,-0.1887385970430953,-0.9279647687952186,-0.38041954749814366,-5770
79WKMD-3vMM,1.2114795951177513,-1.3891702357525946,-0.27780993170505847,-0.23150827642088204,0.0,-0.011575413821044102,-0.011575413821044102,0.0,-1.1692373731527568,10.287166724543738,-3.9589924888425876,-2.662465756067446,2.8233961621072394,-1.2386898560790216,2.55736260626873,-0.3357271932193798,-0.7177158493138353,-0.12740993684968682,-4.019240910085875e-05,-0.33568700081027897,0.034324317372123936,-0.023351789687592328,0.2776089696595543,0.41663451273938595,-0.05791726151432136,-0.15048037967357333,4.212767359905339,-0.12732955203148513,-0.03472624146313231,-0.06945248292626462,0.0,2.418337063188898,1.990609445537678,2.2567635786034907,-0.38198865609445537,0.0809073195200063,-0.5788510758704069,-0.5325092281771295,0.6362860284755181,-0.5093182081259405,-0.01161560623014496,1.1687952566526474,1.805081285128165,1.2959640390477296,2.3146406477087114,0.0,-0.34726241463132307,2.7427299970418386,0.4745115818446065,1.6665380509575438,0.9836690203341438,0.25457871924476855,0.11567375339223929,-0.8110024308369024,-0.09276408020475624,-0.2896666923898086,-0.7527234376406735,-0.09268369538655452,-0.35883782845236717,-0.011575413821044102,-0.011575413821044102,-0.011575413821044102,-0.011575413821044102,-3.5652274568815834,-0.023150827642088204,-0.04630165528417641,-0.8334297951151753,-1.3311725894200717,-0.38198865609445537,-8351
WbLcKRyAdI0,-3.2818338103029276,-1.7522966995576728,-0.23817625042531473,-0.11908812521265737,-0.11908812521265737,-0.08506294658046955,0.0,0.0,-1.5311330384484518,2.6776155818720504,-1.728581213888146,-2.005091647744284,-1.225640557502233,-0.3364215598342024,0.9553223231345047,-0.11908812521265737,0.0004787783109594934,-0.7650877409132665,0.7533417130177269,0.2561463963633276,2.0067514125556096,1.7141859460052973,0.3946410024468763,0.44472121377323914,-0.08506294658046955,-0.06805035726437564,0.2594978445400442,-0.03402517863218782,-0.13610071452875128,0.0,0.0,-2.5602829771329096,-1.0698780136700785,-0.28442623526400146,-0.25423128311948967,-0.015097476072255978,-0.3893744410263219,-0.5784280367471929,-0.4233996196585098,0.10303309251848242,-0.06805035726437564,-0.3397730080109187,1.486064040110132,0.6550964036088396,0.980729492169421,0.0,0.7557356045725241,0.9004543286985465,0.2225999960420993,0.8417561077749127,-0.26789242425886695,-0.04864387639348422,0.36109460212564803,-1.2615808493782588,0.0028726698657568495,-0.3704467384663901,-0.9110193700937192,0.6692363230591762,0.854938470603331,-0.06805035726437564,0.10255431420752294,0.0,0.0,-0.4423273222184416,0.0,-0.01701258931609391,0.0,-0.05103776794828173,-0.11908812521265737,-5345
2V2cJvNK2_U,1.0435338676851202,-0.8710426016018773,-0.968054211035818,-0.8435900981883557,-0.13829345871940257,0.0,0.0,0.0,0.1343611527046975,9.574001654514074,-2.8207741812150946,-2.8611576384897055,-0.361669059187685,-2.126788444440124,0.7183306874952233,-0.35956299267044667,-0.6748102220515769,-0.18664462218860367,0.2738622859304889,-0.5670031807495506,-0.8904243046556295,-0.5821432952930593,-0.2903131691455658,0.5380337203341017,-0.25306672003998876,-0.3042456091826857,-0.24023886034407838,-0.08297607523164155,-0.11063476697552206,-0.027658691743880515,-0.7744433688286544,1.0464057765722625,1.9780088363481747,1.874237195226033,-0.0774237180498295,0.8465209180270311,-0.11467016715540668,-1.9014835103091956,0.062386697671500624,0.5629677805696659,-0.21157868242416797,-0.3816693272325152,-0.7245752483575258,-0.10922090413877417,-0.568313949421119,0.0,0.0,2.1108530320509447,-0.044212669124137016,1.5463682944793515,0.28224236878579667,0.38177242139769474,0.3264550379099337,-2.001911954931944,-0.5986972726733157,-0.15191661626098396,-1.8224397410922597,2.2780128570206166,0.4412282992305198,-0.027658691743880515,-0.027658691743880515,0.09266692675851768,-0.1936108422071636,-3.2540347742510245,-0.013829345871940258,-0.013829345871940258,-0.35956299267044667,-0.6499792559811921,-0.5116857972617895,-6292
UUMKX_-MSfc,-5.151515151515149,-0.7754010695187168,-0.249554367201426,-0.27183600713012473,0.08912655971479502,-0.22727272727272727,0.15151515151515152,0.0,-0.606060606060606,-1.0650623885918016,-1.809269162210339,-1.4304812834224598,-1.4483065953654188,-1.0026737967914439,-0.7174688057040992,-0.16934046345811052,-0.28520499108734404,-0.2094474153297683,-0.04010695187165775,-0.03119429590017825,1.167557932263815,0.11140819964349369,1.2165775401069516,0.4099821746880571,0.02228163992869875,-0.17825311942959,0.9714795008912658,0.33868092691622104,-0.026737967914438502,-0.040106951871657755,0.37433155080213903,-0.2985739750445626,-0.4322638146167559,-0.11140819964349369,-0.33868092691622104,-0.2272727272727274,0.6149732620320855,-0.26737967914438504,0.1292335115864527,0.23172905525846704,-0.07575757575757575,-0.21390374331550802,1.1764705882352944,0.2584670231729055,1.1675579322638145,-0.013368983957219251,-0.2896613190730837,3.9126559714795013,0.35650623885918004,1.1408199643493762,0.6327985739750446,0.38324420677361853,1.555258467023173,-1.2655971479500892,0.4901960784313726,-0.6729055258467023,-1.1408199643493764,0.3030303030303032,-0.43226381461675584,-0.040106951871657755,-0.8422459893048129,0.24955436720142604,0.0,-0.5926916221033869,-0.013368983957219251,-0.08021390374331551,-0.08021390374331551,-0.0089126559714795,-0.2807486631016043,-6820
ixvux5TLyAk,-5.682350436448793,0.24918387623305627,-0.10112837981690437,-0.05428997232275923,-0.624512099921936,-0.0156128024980484,0.0,0.0,0.44602938045561014,-0.12641047477113077,-2.4748953232559785,-2.5034596550989994,-0.018185366546021875,-1.6875133063657652,-0.5164644099070328,-0.4215456674473068,0.12561209282520758,-0.33736072670498896,-0.13643460364771842,0.28715137321694706,0.3625541125541125,-0.14184585905897396,0.3930700447093891,0.4140941026186928,0.19143424881129797,-0.0624512099921936,1.1920729543680366,-0.1249024199843872,0.0,-0.0468384074941452,-0.156128024980484,-1.2597580015612806,0.11612021857923516,-0.30542544886807166,-0.08551557731885606,-0.25521609538002976,-0.1323539848130012,-0.5871655666737633,-0.3040948122915337,0.06857213824426944,-0.1405152224824356,-0.1717408274785324,4.063586686537507,-0.4038925555318998,2.678039173940813,0.0,1.9964871194379392,2.297920658576396,-0.07602370307288342,0.5491980696898731,0.867575047902917,0.32449790646511967,0.9551309346391313,-2.5604109005748343,0.9768646653892556,-1.5884252359662194,-1.5076112412177984,-0.07939464906678029,-0.38827975303385137,-0.0312256049960968,1.9082215598609042,-0.234192037470726,-0.078064012490242,-0.9035022354694486,0.0,0.0,-0.1249024199843872,-0.2029664324746292,-0.2966432474629196,-5877
5dxZ5L6QQQ8,-1.7305179345385326,-0.48877637153632625,1.123952308033613,0.15157376995958033,0.06888794498162987,-0.02144082332761578,1.0397784763893925,-0.01072041166380789,-1.6020082679061312,2.267417794395353,-0.8410619497757166,-2.6740494342869203,-0.7677099847952773,-1.1226672113672889,-0.2976013332539722,-0.3216123499142367,-1.082761578044597,-0.23743851827001639,-0.17152658662092624,0.10561465497183609,0.6399443214960148,0.967711608075277,-0.27416522826022266,-0.07504288164665524,0.0474471216540141,-0.04288164665523156,1.9691739128082204,0.0,-0.06432246998284734,0.0,1.0290580647255845,-0.6360890314970424,-0.2298970299386942,-0.20994421327734814,-0.17152658662092624,0.16993712495468338,0.47159665820757424,-0.9021040414261056,0.6353788464972325,-0.001589461666242853,0.12249000330066931,-0.09648370497427101,3.789851523989373,0.2357476016038007,3.399452684093479,-0.01072041166380789,0.1332104149644772,1.7944684028548084,0.23425959493753074,1.3765752579662465,1.6705918478878423,1.2495197796667947,-0.0888407616429758,-0.6530658348258491,-0.0828887349778964,-0.8869196097634879,-0.3540779499055793,1.3887836762963244,-0.056679526651552126,-0.01072041166380789,-0.01072041166380789,-0.02144082332761578,0.10412664830556623,-3.3554888507718696,0.0,0.0,-0.4502572898799314,-0.5681818181818182,-0.2251286449399657,-8694
iIZHVTjz1vg,-1.0073071925616048,-0.4596928343603832,-0.24123512383403023,-0.22515278224509488,-0.0321646831778707,-0.01608234158893535,0.0,0.0,-0.42752815118251264,2.4368644109824658,-0.5159101826018828,-2.6595021133755488,0.80850961327282,0.24445867688379463,0.24523799740132102,-0.24367935636626933,-0.1915711526717232,-0.083883226613654,0.059440901291263254,0.0891613519368949,1.3909454291434704,1.2950890054878337,0.16263002254361725,0.05455243622678507,-0.1730445785505489,-0.13354719777596097,-0.00024796561921247573,-0.05069125729904511,-0.04824702476680605,-0.11257639112254744,-0.22515278224509488,-1.052153545979202,1.222009995139874,0.4930264983145425,-0.11990908871926464,-0.13946294897717726,-0.00835998373345559,-1.1774824546612577,0.15001919962365906,-0.13843566284043907,0.1832111689382679,-0.14474107430041813,0.11310774602086049,-0.24123512383403023,0.4990839441553083,-0.04824702476680605,-0.14474107430041813,2.311500078640525,0.6412390912839376,0.9643028694581453,0.6251567496950022,0.3430072986908833,0.5471892742825646,-2.838710408746527,-0.22720735451857133,-0.734509587767785,-2.5227313625498233,1.6674270945655856,0.26117864435070554,0.013638109056696268,0.23145819370507392,-0.0321646831778707,-0.0024442325322390768,-2.7500804117079447,-0.01608234158893535,0.0,-0.08041170794467674,-0.28948214860083626,-0.24123512383403023,-5310
Qqmh-MVbIBI,-1.1849652963160722,-3.0973198077949813,-0.3073358248798718,-0.5605979711692471,0.0,-0.013347570742124934,0.30665242925787506,0.0,-2.8300266951414845,8.539925253603844,-1.8058515750133473,-3.6324185798184736,0.7805018686599032,-1.683160704751735,1.328948211425521,-0.3603844100373732,-0.3740736785904965,-0.8681046449546184,0.3064815803523758,-0.6273358248798718,0.356625734116391,-0.24213561131874006,0.4789749065670047,0.4262680192205019,-0.06690870261612386,0.0,1.5038334223171383,-0.00017084890549920462,-0.06673785371062467,-0.053390282968499736,-0.22725040042712225,0.17746930058729404,0.8910411105178859,0.30426054458088636,-0.4539882541377469,0.012664175120128185,0.572066203950881,-1.1624345969033634,-1.0284463427656165,-0.08059797116924716,-0.14699412706887346,-0.13347570742124934,0.6247730912973839,-0.013689268553123302,0.17266417512012822,0.0,0.7322370528563802,3.1700587293112656,-0.18703683929524825,1.026054458088628,1.0660971703150026,0.26592632140950345,1.852066203950881,-2.1660651361452214,-0.2813240790176188,-0.42831820608649207,-1.6968499733048583,0.6788467698878804,-0.027378537106246603,-0.0400427122263748,0.5592311799252536,0.0,0.0,-4.805125467164976,0.0,-0.06673785371062467,-0.30699412706887347,-1.0411105178857447,-0.6540309663641217,-6867
q7x7IWPIAgw,-2.056951640934848,-2.828379402125255,-1.3088587390263369,-0.44692737430167595,0.0,-0.6703910614525139,-0.09577015163607343,0.0,-1.5195206630989178,6.220468506717552,-1.988675571184149,-3.466847079699078,1.3476421394068785,-0.17863050843795536,0.17917066721762875,-0.09577015163607343,-0.22983756075098274,0.5811028151725198,0.16283086413251174,0.0830224044357839,2.89903217050652,0.3927764566394292,2.697796017139238,0.1404952985930214,1.1270142858493255,-0.006373873600144769,-1.1140504751371665,-0.12769353551476456,-0.17557861133280128,0.0,-0.11173184357541899,-1.1074065221471852,-0.849129601646404,0.5492334471717963,-0.16599079299360045,1.6218807518470053,-0.7469855764101858,-0.8746791119249502,-0.3032181309695985,-0.08296838855781663,-0.17557861133280128,-0.07022064135752704,7.968962476519972,3.141617478457793,5.047594740473962,0.0,1.376081499156677,4.249510143506684,-0.3734927882050929,2.171006167262867,0.32250179940393486,0.012801763078256811,2.8126877895757456,-1.9501622501934444,-0.050990988801158155,-0.4500332872847974,-2.1418646010994933,0.12137367779258712,0.8333299573409603,-0.07980845969672785,0.4437674454405872,0.0,0.07343458609658308,-5.698324022346369,0.0,-0.07980845969672785,-0.12769353551476456,-0.4948124501197127,-0.39904229848363926,-5674
Wk2J6vZLItM,-2.139086863510002,-1.1353917609508883,0.10877100660084885,-0.013956734124214934,-0.055826936496859735,0.0,0.0,0.0,-1.2581195016759523,2.3499937080296966,-0.27098944092983857,-1.5930811206571105,0.5431228764600231,-1.5275073501653071,0.2525024881882558,-0.40895518973150446,-0.21424730875270281,0.07907290677587997,0.2970725178177159,-0.39078855547801816,0.38566345966847004,0.288423918639104,0.2633933167835447,0.1645979430977086,-0.012629700387814163,-0.013956734124214934,0.031436971617493814,-0.013956734124214934,-0.027913468248429867,0.0,0.05161703636758835,0.14212988914692382,1.0606660336563212,0.946586892109869,-0.1466601077642914,-0.060265635546200236,0.6428792056101494,-0.9995767219978722,-0.7833617425325754,-0.19983297678834955,-0.10190703899877591,-0.5848557994806265,0.08039994051228083,0.09614130621303468,0.09170260716369416,0.0,0.0,1.2086531751570133,-0.08241337100888885,0.7698168464644846,0.4295470925377232,0.11563497420292174,0.3065905528925903,-0.405706245066523,-0.6032512326541818,-0.27982107924450617,-0.043242995893059355,1.1406541361124776,0.08506743848169036,0.0,-0.07820347087961743,0.03766030224337341,-0.14245020763501998,-1.8549186047841852,-0.013956734124214934,0.0,-0.09769713886950454,-0.22751764611671033,-0.0418702023726448,-5640
VJXVjj8L4Go,6.481716884819356,-2.1648757622102606,-0.4260432597771466,-0.14201441992571553,-0.043696744592527856,-0.010924186148131964,-0.010924186148131964,0.0,-1.7497566885812461,12.407045106957714,-0.7527757363894567,-2.26959898305758,1.5527240947822118,-0.7905634893836773,0.8599817268158976,-0.600830238147258,-0.7668282122072815,0.18809462331419946,0.26883429002721115,-0.5155719308002463,1.0364073331082286,1.1192821816592846,0.24485073589290318,0.2797584761753431,0.1508034242358035,-0.07646930303692374,1.294317436987308,-0.06554511688879179,-0.1857111645182434,-0.032772558444395895,-0.1857111645182434,4.277861640216895,3.0139333028780264,1.4142352076588476,-0.34957395674022285,0.02636701293026389,0.7081851947484457,-0.7668282122072815,0.3588595149661349,0.028502194768307954,-0.5462093074065982,0.3431684112260909,3.5672929866724927,0.17503525532802366,2.067551194708721,0.0,2.146403956541601,3.8881164716864958,0.7430929350308857,2.082745744532941,2.0084116233340614,0.20328917313841938,0.28854748048543105,-0.6169185850199614,0.8525830734701176,-2.0425745327427647,0.3918803503684427,1.016445865692097,0.5267443939062904,-0.032772558444395895,0.22300236359663927,0.0,0.0,-6.030150753768845,0.0,-0.07646930303692374,-0.61175442429539,-1.179812103998252,-0.5243609351103343,-8714
9cXvJEd_mCA,-3.3199914192435855,-0.9468715280754737,-0.0500010494706221,0.010761520786099751,-0.06076257025672186,0.0,0.0,0.0,-0.9576330488615734,0.932036638264556,-1.4696501989903026,-0.9538264944016968,0.7400190896927388,-1.0139664973402147,-0.11640230086650671,-0.2734315661552484,-0.05314946133696874,0.05128175938235646,-0.24747940280496816,-0.013287365334242185,-0.732921822265213,-0.8639633489283483,0.1614228117914962,0.5196658343238083,-0.1367157830776242,-0.10633449794926325,-0.2139141305349348,0.08671473360700208,-0.015190642564180465,0.10190537617118253,-0.03038128512836093,0.5697380343450824,0.43423181062854077,-0.010103378192569679,-0.3949567066686921,0.6456200966153327,0.8101913202731754,-0.32595846017401287,-0.37405623241469677,0.023426318802137747,-0.44938687791739484,0.0670949692647409,1.735023965284224,-0.5810153966234082,2.2837547995493326,0.17342946721400415,0.022803751483933654,2.0811891818433756,0.006332399008019046,1.3912422921719099,0.0386169613663182,0.012664798016038092,0.5171399897756659,0.37416295824067447,-0.1094829098156096,-0.11896372068997563,0.04498493564966344,0.01647135247591458,0.11647345141715892,0.0,-0.0455719276925414,0.0,0.08671473360700208,-0.6645817183640638,0.0,0.0,-0.1670970682059851,-0.20633659689050746,-0.15190642564180465,-5729
